Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-02-18,41.581799,42.216195,41.581799,42.216195,4752
2008-02-19,42.02876,42.02876,42.02876,42.02876,300
2008-02-20,42.677574,42.843383,42.374794,42.555021,865
2008-02-21,43.290344,43.290344,42.663156,42.663156,610
2008-02-22,41.668307,42.468512,41.668307,41.906206,2179
2008-02-25,42.742456,42.821755,42.742456,42.749665,77
2008-02-26,43.066863,43.326389,43.038027,43.23988,783
2008-02-27,43.110117,43.110117,42.893846,43.0164,122
2008-02-28,42.533393,42.691993,42.194568,42.194568,272
2008-02-29,42.158523,42.389212,41.812488,41.812488,4009
2008-03-03,41.019493,41.72598,41.012284,41.72598,2004
2008-03-04,41.978297,41.978297,41.3439,41.3439,749
2008-03-05,40.954612,41.106002,40.88973,40.990657,534
2008-03-06,40.983448,40.983448,40.983448,40.983448,11
2008-03-07,39.217231,39.390248,39.217231,39.246067,349
2008-03-10,38.928869,39.000959,38.604461,38.827942,3828
2008-03-11,39.015377,39.757909,38.496326,39.757909,1698
2008-03-12,40.81764,40.81764,39.945345,40.464396,620
2008-03-13,39.483965,39.548847,38.496326,38.496326,4594
2008-03-14,40.248125,40.615786,39.303739,39.656983,3287
2008-03-17,38.633298,38.928869,38.496326,38.777478,2390
2008-03-18,39.404666,39.887672,39.404666,39.887672,2584
2008-03-19,40.248125,40.334633,40.176034,40.176034,520
2008-03-20,38.705388,39.772327,38.135873,39.635355,6735
2008-03-25,40.147198,40.147198,39.231649,39.260485,1324
2008-03-26,39.289321,40.197661,39.015377,39.015377,2547
2008-03-27,39.361412,39.635355,39.361412,39.556056,1107
2008-03-28,39.476756,39.793955,39.325366,39.325366,207
2008-03-31,39.361412,39.361412,38.856778,39.274903,3765
2008-04-01,39.130722,39.368621,38.777478,39.368621,1110
2008-04-02,40.320215,40.514859,40.010226,40.493232,2370
2008-04-03,40.947402,41.134838,40.695086,41.134838,401
2008-04-04,40.853685,40.853685,40.853685,40.853685,250
2008-04-07,41.091583,41.170883,40.702295,40.702295,1281
2008-04-08,40.731131,41.163674,40.579741,41.163674,798
2008-04-09,40.904148,41.04112,40.904148,40.947402,490
2008-04-10,40.875312,41.048329,40.550905,41.048329,672
2008-04-11,40.745549,40.918566,40.550905,40.781594,1434
2008-04-14,40.28417,40.370678,40.082317,40.28417,610
2008-04-15,40.918566,41.091583,40.846476,40.846476,210
2008-04-16,40.96903,41.516917,40.96903,41.516917,401
2008-04-17,41.956669,42.533393,41.956669,42.533393,166
2008-04-18,42.583857,42.807337,42.504557,42.742456,2076
2008-04-21,42.886637,42.886637,42.353167,42.353167,245
2008-04-22,42.756874,42.965936,42.641529,42.756874,215
2008-04-23,43.001982,43.001982,42.382003,42.382003,718
2008-04-24,42.605484,42.893846,42.25945,42.63432,925
2008-04-25,43.08849,43.138954,42.165732,42.648738,1347
2008-04-28,41.87737,43.182208,41.87737,43.182208,427
2008-04-29,42.893846,43.254298,42.641529,43.146163,4377
2008-04-30,42.18015,43.448943,41.589008,43.268716,506
2008-05-02,41.999924,42.461303,41.812488,42.461303,1012
2008-05-05,41.754816,42.655947,41.516917,42.02876,3202
2008-05-06,42.728038,42.728038,41.329482,41.329482,1165
2008-05-07,41.444827,42.050387,41.444827,41.862952,87
2008-05-08,41.855743,41.855743,41.740398,41.740398,735
2008-05-09,42.043377,42.043377,41.283033,41.36993,6115
2008-05-12,41.934756,41.934756,41.63786,41.63786,306
2008-05-13,41.471309,41.992687,41.456826,41.992687,1406
2008-05-14,42.16648,42.267859,42.00717,42.180963,1200
2008-05-15,42.094066,42.289583,41.79717,42.246135,1791
2008-05-16,42.738548,43.303375,42.651652,42.876134,2358
2008-05-19,42.825444,43.795788,42.825444,43.520616,1611
2008-05-20,43.875443,44.86751,42.774755,44.157856,1547
2008-05-21,44.150615,44.150615,43.107858,43.716133,1731
2008-05-22,43.303375,43.310616,42.818203,42.818203,2203
2008-05-23,42.036135,42.036135,42.036135,42.036135,2770
2008-05-27,41.927515,41.927515,41.326481,41.326481,187
2008-05-28,41.449585,41.449585,40.587862,41.261309,1315
2008-05-29,41.999929,41.999929,41.999929,41.999929,950
2008-05-30,41.985446,41.985446,41.572688,41.703032,1166
2008-06-02,41.703032,41.703032,41.116482,41.254068,1598
2008-06-03,40.848551,40.913723,40.84131,40.913723,277
2008-06-04,40.558897,40.558897,39.94338,39.950622,2610
2008-06-05,40.479241,40.566138,40.392345,40.566138,305
2008-06-06,41.500274,41.68855,40.884758,40.884758,760
2008-06-09,39.668208,40.660276,39.320623,40.660276,2454
2008-06-10,41.275792,41.275792,41.275792,41.275792,70
2008-06-11,41.36993,41.36993,41.036827,41.275792,450
2008-06-12,41.63786,41.739239,41.152689,41.152689,1937
2008-06-13,41.275792,41.413378,40.94993,41.355447,732
2008-06-16,41.768205,41.768205,41.217861,41.217861,118
2008-06-17,41.333723,41.52924,40.942689,41.52924,698
2008-06-18,41.521998,41.521998,41.130964,41.130964,2221
2008-06-19,40.319931,41.188895,40.319931,40.696482,4225
2008-06-20,39.78407,40.052001,39.711657,39.711657,502
2008-06-23,39.588553,40.558897,39.588553,40.558897,1030
2008-06-24,40.928206,40.928206,40.31269,40.31269,1322
2008-06-25,40.348897,40.739931,40.15338,40.15338,580
2008-06-26,40.435793,40.580621,40.131656,40.580621,539
2008-06-27,39.921656,40.015794,39.682691,39.682691,593
2008-06-30,39.805794,40.298207,39.574071,40.298207,1127
2008-07-01,40.20407,40.624069,40.066484,40.262,1730
2008-07-02,40.682,40.696482,40.52269,40.52269,5821
2008-07-03,40.10269,40.558897,40.066484,40.327173,1085
2008-07-04,40.385104,40.94993,40.385104,40.94993,375
2008-07-07,40.624069,41.058551,40.551655,41.058551,2088
2008-07-08,39.827518,40.088208,39.46545,39.747863,1786
2008-07-09,39.827518,39.827518,39.545105,39.827518,295
2008-07-10,39.081658,39.240968,38.495107,38.50959,912
2008-07-11,39.523381,39.523381,39.204761,39.233726,3407
2008-07-14,38.429935,39.016485,38.429935,39.016485,4188
2008-07-15,38.719589,38.719589,38.29959,38.466141,6072
2008-07-16,37.647867,37.647867,37.235109,37.235109,477
2008-07-17,36.706489,37.054075,36.706489,36.793386,3237
2008-07-18,36.322697,36.92373,36.322697,36.92373,647
2008-07-21,37.322005,37.322005,37.29304,37.29304,886
2008-07-22,37.633384,37.633384,37.560971,37.560971,1116
2008-07-23,38.306831,38.306831,38.009935,38.133039,1070
2008-07-24,37.387178,37.720281,37.249592,37.720281,1633
2008-07-25,37.264075,37.640626,37.177178,37.560971,1698
2008-07-28,37.691315,37.763729,37.416143,37.553729,2034
2008-07-29,37.148213,37.40166,36.97442,37.068558,3822
2008-07-30,37.778212,38.379245,37.445109,38.379245,1565
2008-07-31,39.175795,39.175795,37.799936,38.35028,349
2008-08-01,37.553729,37.560971,37.285799,37.285799,1116
2008-08-04,37.235109,37.235109,36.351662,36.547179,2705
2008-08-05,35.844767,36.293731,35.533388,36.141663,4121
2008-08-06,36.568903,36.757179,36.568903,36.568903,367
2008-08-07,36.648558,37.191661,36.648558,36.902006,2475
2008-08-08,37.061316,37.387178,37.061316,37.387178,2621
2008-08-11,38.194065,38.208623,37.808266,37.808266,1490
2008-08-12,38.012084,38.201344,37.932013,37.932013,1085
2008-08-13,39.089409,39.089409,37.633565,37.873779,885
2008-08-14,38.288695,38.288695,37.946571,38.099435,1776
2008-08-15,38.201344,38.33237,37.851941,37.851941,1569
2008-08-18,38.113993,38.652656,38.113993,38.652656,340
2008-08-19,38.070318,38.070318,37.997526,37.997526,320
2008-08-20,38.528909,38.579863,37.619006,38.579863,2516
2008-08-21,38.812798,39.373298,38.79824,39.373298,2348
2008-08-22,39.380577,39.679025,39.133084,39.679025,1759
